Results of cspell linter (version 6.18.1)
See documentation on https://megalinter.io/6.18.0/descriptors/spell_cspell/
-----------------------------------------------

❌ [ERROR] for workspace /github/workspace
Linter raw log:
 1/34 ./megalinter-reports/IDE-config.txt 1113.39ms X
/github/workspace/megalinter-reports/IDE-config.txt:11:1 - Unknown word (djlint)
/github/workspace/megalinter-reports/IDE-config.txt:13:29 - Unknown word (djlint)
/github/workspace/megalinter-reports/IDE-config.txt:15:7 - Unknown word (djlint)
/github/workspace/megalinter-reports/IDE-config.txt:17:1 - Unknown word (htmlhint)
/github/workspace/megalinter-reports/IDE-config.txt:19:12 - Unknown word (htmlhint)
/github/workspace/megalinter-reports/IDE-config.txt:21:16 - Unknown word (htmlhint)
/github/workspace/megalinter-reports/IDE-config.txt:23:29 - Unknown word (htmlhint)
/github/workspace/megalinter-reports/IDE-config.txt:25:14 - Unknown word (htmlhint)
/github/workspace/megalinter-reports/IDE-config.txt:34:12 - Unknown word (mprettier)
/github/workspace/megalinter-reports/IDE-config.txt:35:12 - Unknown word (miniprettier)
/github/workspace/megalinter-reports/IDE-config.txt:39:7 - Unknown word (apheleia)
/github/workspace/megalinter-reports/IDE-config.txt:57:7 - Unknown word (vison)
/github/workspace/megalinter-reports/IDE-config.txt:85:7 - Unknown word (flycheck)
/github/workspace/megalinter-reports/IDE-config.txt:92:7 - Unknown word (Syntastic)
/github/workspace/megalinter-reports/IDE-config.txt:99:12 - Unknown word (mprettier)
/github/workspace/megalinter-reports/IDE-config.txt:100:12 - Unknown word (miniprettier)
/github/workspace/megalinter-reports/IDE-config.txt:104:7 - Unknown word (apheleia)
 2/34 ./megalinter-reports/copy-paste/html/index.html 11515.37ms X
/github/workspace/megalinter-reports/copy-paste/html/index.html:3693:70 - Unknown word (localstorage)
/github/workspace/megalinter-reports/copy-paste/html/index.html:6213:48 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:6213:64 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8037:47 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8037:62 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8049:47 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8049:62 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:10521:73 - Unknown word (tranform)
/github/workspace/megalinter-reports/copy-paste/html/index.html:12909:57 - Unknown word (workig)
/github/workspace/megalinter-reports/copy-paste/html/index.html:13629:67 - Unknown word (accouting)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15273:55 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15573:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15585:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15597:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15609:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15621:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16293:61 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16593:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16605:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16617:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16629:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16641:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:17253:58 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19413:36 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19413:51 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19425:36 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19425:51 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19437:36 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:28017:63 - Unknown word (gloal)
/github/workspace/megalinter-reports/copy-paste/html/index.html:29505:64 - Unknown word (Altere)
/github/workspace/megalinter-reports/copy-paste/html/index.html:30537:40 - Unknown word (icrud)
/github/workspace/megalinter-reports/copy-paste/html/index.html:30609:62 - Unknown word (commant)
/github/workspace/megalinter-reports/copy-paste/html/index.html:35925:48 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:36045:38 - Unknown word (pdfmaker)
/github/workspace/megalinter-reports/copy-paste/html/index.html:37101:52 - Unknown word (kpis)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40437:44 - Unknown word (Keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40485:44 - Unknown word (Fiverr)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40545:43 - Unknown word (IAWS)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40665:30 - Unknown word (keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40665:39 - Unknown word (keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40677:30 - Unknown word (keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40677:39 - Unknown word (keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40737:30 - Unknown word (fiverr)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40737:37 - Unknown word (fiverr)
/github/workspace/megalinter-reports/copy-paste/html/index.html:41577:48 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:46141:48 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:46141:64 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:46513:55 - Unknown word (fullcalendar)
/github/workspace/megalinter-reports/copy-paste/html/index.html:47125:47 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:47845:52 - Unknown word (fullcalendar)
/github/workspace/megalinter-reports/copy-paste/html/index.html:48937:59 - Unknown word (fullcalendar)
/github/workspace/megalinter-reports/copy-paste/html/index.html:49105:53 - Unknown word (fullcalendar)
/github/workspace/megalinter-reports/copy-paste/html/index.html:50501:61 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:51753:301 - Unknown word (latlng)
/github/workspace/megalinter-reports/copy-paste/html/index.html:51753:345 - Unknown word (latlng)
/github/workspace/megalinter-reports/copy-paste/html/index.html:52437:401 - Unknown word (chartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:52437:433 - Unknown word (chartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:52473:399 - Unknown word (chartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:52473:497 - Unknown word (chartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:52509:88 - Unknown word (chartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:59169:48 - Unknown word (Echart)
/github/workspace/megalinter-reports/copy-paste/html/index.html:59205:40 - Unknown word (Echart)
/github/workspace/megalinter-reports/copy-paste/html/index.html:59889:48 - Unknown word (Echart)
/github/workspace/megalinter-reports/copy-paste/html/index.html:59925:40 - Unknown word (Echart)
/github/workspace/megalinter-reports/copy-paste/html/index.html:61437:871 - Unknown word (transaltions)
/github/workspace/megalinter-reports/copy-paste/html/index.html:61509:432 - Unknown word (uploadimage)
/github/workspace/megalinter-reports/copy-paste/html/index.html:61725:306 - Unknown word (latlng)
/github/workspace/megalinter-reports/copy-paste/html/index.html:61761:49 - Unknown word (latlng)
/github/workspace/megalinter-reports/copy-paste/html/index.html:62409:281 - Unknown word (latlng)
/github/workspace/megalinter-reports/copy-paste/html/index.html:62589:477 - Unknown word (Localstorage)
/github/workspace/megalinter-reports/copy-paste/html/index.html:62589:530 - Unknown word (localstorage)
/github/workspace/megalinter-reports/copy-paste/html/index.html:62841:341 - Unknown word (Interviewes)
/github/workspace/megalinter-reports/copy-paste/html/index.html:63345:212 - Unknown word (Entites)
/github/workspace/megalinter-reports/copy-paste/html/index.html:63345:692 - Unknown word (Entites)
/github/workspace/megalinter-reports/copy-paste/html/index.html:63381:43 - Unknown word (Entites)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64209:45 - Unknown word (fieldname)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64317:166 - Unknown word (orignal)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64425:2602 - Unknown word (Echart)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64425:4593 - Unknown word (techarts)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64425:4936 - Unknown word (tchartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64497:4525 - Unknown word (techarts)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64497:4868 - Unknown word (tchartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64533:765 - Unknown word (nbinput)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64533:928 - Unknown word (nbbutton)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64569:51 - Unknown word (Akveo)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64605:51 - Unknown word (Akveo)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64857:4642 - Unknown word (echarts)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64893:4678 - Unknown word (techarts)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64893:4956 - Unknown word (tchartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64965:10359 - Unknown word (timegrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64965:10430 - Unknown word (timegrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64965:10500 - Unknown word (timegrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64965:10681 - Unknown word (timegrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64965:10904 - Unknown word (scrollgrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64965:11061 - Unknown word (timegrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64965:11114 - Unknown word (daygrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64965:12064 - Unknown word (daygrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64965:12574 - Unknown word (daygrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64965:12745 - Unknown word (daygrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65541:764 - Unknown word (Ddescription)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65793:724 - Unknown word (Dropdwon)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65937:696 - Unknown word (Dropdwon)
/github/workspace/megalinter-reports/copy-paste/html/index.html:66045:367 - Unknown word (Dropdwon)
/github/workspace/megalinter-reports/copy-paste/html/index.html:66045:1419 - Unknown word (Dropdwon)
/github/workspace/megalinter-reports/copy-paste/html/index.html:68745:689 - Unknown word (Dropdwon)
/github/workspace/megalinter-reports/copy-paste/html/index.html:69429:212 - Unknown word (dafault)
/github/workspace/megalinter-reports/copy-paste/html/index.html:69501:3865 - Unknown word (veirify)
/github/workspace/megalinter-reports/copy-paste/html/index.html:69501:4124 - Unknown word (Currencu)
/github/workspace/megalinter-reports/copy-paste/html/index.html:70149:365 - Unknown word (Createbutton)
/github/workspace/megalinter-reports/copy-paste/html/index.html:70185:365 - Unknown word (Createbutton)
/github/workspace/megalinter-reports/copy-paste/html/index.html:70221:365 - Unknown word (Createbutton)
/github/workspace/megalinter-reports/copy-paste/html/index.html:70257:365 - Unknown word (Createbutton)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71013:421 - Unknown word (dafault)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71157:226 - Unknown word (dafault)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71697:248 - Unknown word (lable)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71733:217 - Unknown word (formcontrolname)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71733:275 - Unknown word (formcontrolname)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71733:341 - Unknown word (formcontrolname)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71733:409 - Unknown word (formcontrolname)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71733:530 - Unknown word (formcontrolname)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71805:1020 - Unknown word (Emloyee)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71841:819 - Unknown word (Emloyee)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71877:289 - Unknown word (Emloyee)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71913:24 - Unknown word (tpostcodeinput)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71949:29 - Unknown word (Inpu)
/github/workspace/megalinter-reports/copy-paste/html/index.html:71949:70 - Unknown word (tpostcodeinput)
/github/workspace/megalinter-reports/copy-paste/html/index.html:72093:290 - Unknown word (Addis)
/github/workspace/megalinter-reports/copy-paste/html/index.html:72093:296 - Unknown word (Ababa)
/github/workspace/megalinter-reports/copy-paste/html/index.html:72381:173 - Unknown word (torgname)
/github/workspace/megalinter-reports/copy-paste/html/index.html:75801:32 - Unknown word (tequipement)
/github/workspace/megalinter-reports/copy-paste/html/index.html:75801:221 - Unknown word (equipement)
/github/workspace/megalinter-reports/copy-paste/html/index.html:75873:283 - Unknown word (Sharings)
/github/workspace/megalinter-reports/copy-paste/html/index.html:79293:3671 - Unknown word (echarts)
/github/workspace/megalinter-reports/copy-paste/html/index.html:79365:3711 - Unknown word (techarts)
