Results of cspell linter (version 6.18.1)
See documentation on https://megalinter.io/6.18.0/descriptors/spell_cspell/
-----------------------------------------------

❌ [ERROR] for workspace /github/workspace
Linter raw log:
 1/71 ./megalinter-reports/IDE-config.txt 990.05ms X
/github/workspace/megalinter-reports/IDE-config.txt:15:1 - Unknown word (devskim)
/github/workspace/megalinter-reports/IDE-config.txt:19:1 - Unknown word (trivy)
/github/workspace/megalinter-reports/IDE-config.txt:21:14 - Unknown word (Trivy)
/github/workspace/megalinter-reports/IDE-config.txt:35:7 - Unknown word (flycheck)
/github/workspace/megalinter-reports/IDE-config.txt:42:7 - Unknown word (Syntastic)
/github/workspace/megalinter-reports/IDE-config.txt:49:12 - Unknown word (mprettier)
/github/workspace/megalinter-reports/IDE-config.txt:50:12 - Unknown word (miniprettier)
/github/workspace/megalinter-reports/IDE-config.txt:54:7 - Unknown word (apheleia)
 2/71 ./megalinter-reports/copy-paste/html/index.html 11705.86ms X
/github/workspace/megalinter-reports/copy-paste/html/index.html:3693:70 - Unknown word (localstorage)
/github/workspace/megalinter-reports/copy-paste/html/index.html:6213:48 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:6213:64 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8037:47 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8037:62 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8049:47 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8049:62 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:10521:73 - Unknown word (tranform)
/github/workspace/megalinter-reports/copy-paste/html/index.html:12921:57 - Unknown word (workig)
/github/workspace/megalinter-reports/copy-paste/html/index.html:13641:67 - Unknown word (accouting)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15285:55 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15585:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15597:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15609:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15621:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15633:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16305:61 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16605:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16617:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16629:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16641:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16653:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:17265:58 - Unknown word (Tempates)
