Results of cspell linter (version 6.18.1)
See documentation on https://megalinter.io/6.18.0/descriptors/spell_cspell/
-----------------------------------------------

❌ [ERROR] for workspace /github/workspace
Linter raw log:
 1/83 ./megalinter-reports/IDE-config.txt 1503.22ms X
/github/workspace/megalinter-reports/IDE-config.txt:34:12 - Unknown word (mprettier)
/github/workspace/megalinter-reports/IDE-config.txt:35:12 - Unknown word (miniprettier)
/github/workspace/megalinter-reports/IDE-config.txt:39:7 - Unknown word (apheleia)
/github/workspace/megalinter-reports/IDE-config.txt:85:7 - Unknown word (flycheck)
/github/workspace/megalinter-reports/IDE-config.txt:92:7 - Unknown word (Syntastic)
/github/workspace/megalinter-reports/IDE-config.txt:99:12 - Unknown word (mprettier)
/github/workspace/megalinter-reports/IDE-config.txt:100:12 - Unknown word (miniprettier)
/github/workspace/megalinter-reports/IDE-config.txt:104:7 - Unknown word (apheleia)
 2/83 ./megalinter-reports/copy-paste/html/index.html 18695.97ms X
/github/workspace/megalinter-reports/copy-paste/html/index.html:3693:70 - Unknown word (localstorage)
/github/workspace/megalinter-reports/copy-paste/html/index.html:6213:48 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:6213:64 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8037:47 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8037:62 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8049:47 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8049:62 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:10521:73 - Unknown word (tranform)
/github/workspace/megalinter-reports/copy-paste/html/index.html:12921:57 - Unknown word (workig)
/github/workspace/megalinter-reports/copy-paste/html/index.html:13641:67 - Unknown word (accouting)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15285:55 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15585:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15597:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15609:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15621:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15633:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16305:61 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16605:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16617:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16629:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16641:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16653:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:17265:58 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19425:36 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19425:51 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19437:36 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19437:51 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19449:36 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:28089:63 - Unknown word (gloal)
/github/workspace/megalinter-reports/copy-paste/html/index.html:29577:64 - Unknown word (Altere)
/github/workspace/megalinter-reports/copy-paste/html/index.html:30609:40 - Unknown word (icrud)
/github/workspace/megalinter-reports/copy-paste/html/index.html:30681:62 - Unknown word (commant)
/github/workspace/megalinter-reports/copy-paste/html/index.html:36081:48 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:36201:38 - Unknown word (pdfmaker)
/github/workspace/megalinter-reports/copy-paste/html/index.html:37257:52 - Unknown word (kpis)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40593:44 - Unknown word (Keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40641:44 - Unknown word (Fiverr)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40701:43 - Unknown word (IAWS)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40821:30 - Unknown word (keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40821:39 - Unknown word (keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40833:30 - Unknown word (keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40833:39 - Unknown word (keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40893:30 - Unknown word (fiverr)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40893:37 - Unknown word (fiverr)
/github/workspace/megalinter-reports/copy-paste/html/index.html:41733:48 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:46309:48 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:46309:64 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:46681:55 - Unknown word (fullcalendar)
/github/workspace/megalinter-reports/copy-paste/html/index.html:47293:47 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:48013:52 - Unknown word (fullcalendar)
/github/workspace/megalinter-reports/copy-paste/html/index.html:49105:59 - Unknown word (fullcalendar)
/github/workspace/megalinter-reports/copy-paste/html/index.html:49273:53 - Unknown word (fullcalendar)
/github/workspace/megalinter-reports/copy-paste/html/index.html:50669:61 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:51921:301 - Unknown word (latlng)
/github/workspace/megalinter-reports/copy-paste/html/index.html:51921:345 - Unknown word (latlng)
/github/workspace/megalinter-reports/copy-paste/html/index.html:52605:401 - Unknown word (chartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:52605:433 - Unknown word (chartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:52641:399 - Unknown word (chartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:52641:497 - Unknown word (chartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:52677:88 - Unknown word (chartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:59337:48 - Unknown word (Echart)
/github/workspace/megalinter-reports/copy-paste/html/index.html:59373:40 - Unknown word (Echart)
/github/workspace/megalinter-reports/copy-paste/html/index.html:60057:48 - Unknown word (Echart)
/github/workspace/megalinter-reports/copy-paste/html/index.html:60093:40 - Unknown word (Echart)
/github/workspace/megalinter-reports/copy-paste/html/index.html:61605:871 - Unknown word (transaltions)
/github/workspace/megalinter-reports/copy-paste/html/index.html:61677:432 - Unknown word (uploadimage)
/github/workspace/megalinter-reports/copy-paste/html/index.html:61893:306 - Unknown word (latlng)
/github/workspace/megalinter-reports/copy-paste/html/index.html:61929:49 - Unknown word (latlng)
/github/workspace/megalinter-reports/copy-paste/html/index.html:62577:281 - Unknown word (latlng)
/github/workspace/megalinter-reports/copy-paste/html/index.html:62757:477 - Unknown word (Localstorage)
/github/workspace/megalinter-reports/copy-paste/html/index.html:62757:530 - Unknown word (localstorage)
/github/workspace/megalinter-reports/copy-paste/html/index.html:63009:341 - Unknown word (Interviewes)
/github/workspace/megalinter-reports/copy-paste/html/index.html:63513:212 - Unknown word (Entites)
/github/workspace/megalinter-reports/copy-paste/html/index.html:63513:692 - Unknown word (Entites)
/github/workspace/megalinter-reports/copy-paste/html/index.html:63549:43 - Unknown word (Entites)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64377:45 - Unknown word (fieldname)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64485:166 - Unknown word (orignal)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64593:2602 - Unknown word (Echart)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64593:4593 - Unknown word (techarts)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64593:4936 - Unknown word (tchartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64665:4525 - Unknown word (techarts)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64665:4868 - Unknown word (tchartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64701:765 - Unknown word (nbinput)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64701:928 - Unknown word (nbbutton)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64737:51 - Unknown word (Akveo)
/github/workspace/megalinter-reports/copy-paste/html/index.html:64773:51 - Unknown word (Akveo)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65025:4642 - Unknown word (echarts)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65061:4678 - Unknown word (techarts)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65061:4956 - Unknown word (tchartjs)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65133:10359 - Unknown word (timegrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65133:10430 - Unknown word (timegrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65133:10500 - Unknown word (timegrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65133:10681 - Unknown word (timegrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65133:10904 - Unknown word (scrollgrid)
/github/workspace/megalinter-reports/copy-paste/html/index.html:65133:11061 - Unknown word (timegrid)
