Results of cspell linter (version 6.18.1)
See documentation on https://megalinter.io/6.18.0/descriptors/spell_cspell/
-----------------------------------------------

❌ [ERROR] for workspace /github/workspace
Linter raw log:
  1/107 ./megalinter-reports/IDE-config.txt 1039.10ms X
/github/workspace/megalinter-reports/IDE-config.txt:34:12 - Unknown word (mprettier)
/github/workspace/megalinter-reports/IDE-config.txt:35:12 - Unknown word (miniprettier)
/github/workspace/megalinter-reports/IDE-config.txt:39:7 - Unknown word (apheleia)
/github/workspace/megalinter-reports/IDE-config.txt:85:7 - Unknown word (flycheck)
/github/workspace/megalinter-reports/IDE-config.txt:92:7 - Unknown word (Syntastic)
/github/workspace/megalinter-reports/IDE-config.txt:99:12 - Unknown word (mprettier)
/github/workspace/megalinter-reports/IDE-config.txt:100:12 - Unknown word (miniprettier)
/github/workspace/megalinter-reports/IDE-config.txt:104:7 - Unknown word (apheleia)
  2/107 ./megalinter-reports/copy-paste/html/index.html 12711.77ms X
/github/workspace/megalinter-reports/copy-paste/html/index.html:3693:70 - Unknown word (localstorage)
/github/workspace/megalinter-reports/copy-paste/html/index.html:6213:48 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:6213:64 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8037:47 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8037:62 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8049:47 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:8049:62 - Unknown word (knowledeg)
/github/workspace/megalinter-reports/copy-paste/html/index.html:10521:73 - Unknown word (tranform)
/github/workspace/megalinter-reports/copy-paste/html/index.html:12933:57 - Unknown word (workig)
/github/workspace/megalinter-reports/copy-paste/html/index.html:13653:67 - Unknown word (accouting)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15297:55 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15597:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15609:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15621:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15633:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:15645:44 - Unknown word (pageobjects)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16317:61 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16617:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16629:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16641:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16653:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:16665:44 - Unknown word (pagedata)
/github/workspace/megalinter-reports/copy-paste/html/index.html:17277:58 - Unknown word (Tempates)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19437:36 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19437:51 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19449:36 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19449:51 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:19461:36 - Unknown word (signin)
/github/workspace/megalinter-reports/copy-paste/html/index.html:28113:63 - Unknown word (gloal)
/github/workspace/megalinter-reports/copy-paste/html/index.html:29601:64 - Unknown word (Altere)
/github/workspace/megalinter-reports/copy-paste/html/index.html:30633:40 - Unknown word (icrud)
/github/workspace/megalinter-reports/copy-paste/html/index.html:30705:62 - Unknown word (commant)
/github/workspace/megalinter-reports/copy-paste/html/index.html:36105:48 - Unknown word (keyresults)
/github/workspace/megalinter-reports/copy-paste/html/index.html:36225:38 - Unknown word (pdfmaker)
/github/workspace/megalinter-reports/copy-paste/html/index.html:37281:52 - Unknown word (kpis)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40617:44 - Unknown word (Keycloak)
/github/workspace/megalinter-reports/copy-paste/html/index.html:40665:44 - Unknown word (Fiverr)
